process_count,arrival_rate,burst_mean,burst_variance,short_job_ratio,priority_mean,priority_variance,io_frequency,io_cpu_ratio,profile,seed,label,score_fcfs,score_sjf,score_round_robin,score_priority,score_priority_rr
12.0,0.9230769230769231,8.5,6.583333333333333,1.0,3.0833333333333335,1.9097222222222223,2.3333333333333335,1.5294117647058822,interactive,420000000,Round Robin,0.1316842410752327,0.0819948001994444,0.05845323741007194,0.2598376783079193,0.7834158415841584
12.0,1.2,9.416666666666666,9.243055555555555,1.0,2.75,1.8541666666666667,2.9166666666666665,1.6194690265486726,interactive,420000001,Round Robin,0.11651291661304852,0.15356211774988318,0.08965714724082485,0.2630475302889096,0.7771381578947368
12.0,1.0909090909090908,8,10,1.0,2.8333333333333335,2.638888888888889,2.5,1.625,interactive,420000002,FCFS,0.05837942452923823,0.07643557575176962,0.06054718738429697,0.3224637681159421,0.8071748878923767
12.0,0.8571428571428571,8.5,6.75,1.0,2.25,1.5208333333333333,2.5,1.411764705882353,interactive,420000003,Round Robin,0.1548846020703809,0.15397923875432526,0.10810165956914751,0.2857061732073674,0.782871972318339
12.0,0.8571428571428571,7.333333333333333,8.88888888888889,1.0,2.6666666666666665,2.5555555555555554,2.0833333333333335,1.5568181818181819,interactive,420000004,SJF,0.11878761690175622,0.09612254769254494,0.09682805361528093,0.2969700584516283,0.8002793296089385
12.0,1.0,10.166666666666666,10.13888888888889,1.0,3.4166666666666665,1.5763888888888888,2.5833333333333335,1.139344262295082,interactive,420000005,Round Robin,0.1414585801987061,0.16031449893390193,0.10447761194029848,0.29880670488534394,0.7792207792207793
12.0,1.2,9.666666666666666,11.38888888888889,1.0,3.4166666666666665,2.076388888888889,2.6666666666666665,1.3189655172413792,interactive,420000006,SJF,0.14204808685774203,0.0793875433292437,0.087141750580945,0.254293041926851,0.7911849710982659
12.0,1.2,9.583333333333334,12.409722222222221,1.0,2.9166666666666665,1.5763888888888888,2.5,1.4173913043478261,interactive,420000007,Round Robin,0.08550468036127457,0.16842793740618528,0.06847995925966224,0.29053571428571423,0.7882562277580072
12.0,0.8571428571428571,9.083333333333334,3.4097222222222223,1.0,2.8333333333333335,1.9722222222222223,3.0833333333333335,1.5412844036697249,interactive,420000008,SJF,0.11339014933394756,0.10174595405362424,0.11867185634153743,0.3134920634920635,0.8026315789473684
12.0,1.0,7.166666666666667,5.638888888888889,1.0,3.3333333333333335,1.7222222222222223,2.1666666666666665,1.5116279069767442,interactive,420000009,SJF,0.08239675962568088,0.03617021276595746,0.06017505470459518,0.26601716584104373,0.8053191489361702
12.0,1.0,9.5,10.916666666666666,1.0,2.25,1.8541666666666667,2.5833333333333335,1.4210526315789473,interactive,420000010,Round Robin,0.1038930156717094,0.15301877599357974,0.0944466390894622,0.27557339449541285,0.778782894736842
12.0,1.0,7.916666666666667,14.743055555555555,1.0,2.5833333333333335,2.076388888888889,2.1666666666666665,1.4210526315789473,interactive,420000011,SJF,0.102342737354179,0.0698160535117057,0.10672451684527719,0.3285093678489703,0.8286713286713288
