profile,seed,oracle,selected,correct,regret,inference_ms,score_fcfs,score_sjf,score_round_robin,score_priority,score_priority_rr,max_wait_fcfs,max_wait_sjf,max_wait_round_robin,max_wait_priority,max_wait_priority_rr,switch_time_fcfs,switch_time_sjf,switch_time_round_robin,switch_time_priority,switch_time_priority_rr
interactive,20260000000,SJF,Round Robin,0,0.00033335144779866877,1.9523749997460982,0.11789000576999001,0.08620511009066288,0.08653846153846155,0.3111342854449472,0.8036912751677853,65,61,65,73,155,0,0,0,0,85
interactive,20260000001,SJF,Round Robin,0,0.005150971497986628,0.09404200000062701,0.09219688297966012,0.07260943515398773,0.07776040665197435,0.269528152260111,0.8167870036101084,65,76,68,71,161,0,0,0,0,97
interactive,20260000002,SJF,Round Robin,0,0.03885710808179163,0.07070900028338656,0.0895873904576436,0.030854430379746833,0.06971153846153846,0.2898884204031262,0.7871835443037974,68,76,68,78,174,0,0,0,0,102
interactive,20260000003,Round Robin,Round Robin,1,0.0,0.0652919998174184,0.08976858609883326,0.16394994003584926,0.0586522462562396,0.31518211323476375,0.790644171779141,80,87,83,97,200,0,0,0,0,118
interactive,20260000004,SJF,Round Robin,0,0.006571183349426024,0.06399999983841553,0.1281267778436406,0.07515958588134321,0.08173076923076923,0.3311926605504587,0.7782426778242677,64,70,61,80,148,0,0,0,0,85
interactive,20260000005,Round Robin,Round Robin,1,0.0,0.061749999986204784,0.1172493456121573,0.09323547117011581,0.08856093725238916,0.2626177732749328,0.8362944162436547,65,65,61,71,156,0,0,0,0,93
interactive,20260000006,Round Robin,Round Robin,1,0.0,0.06058300004951889,0.11889962464578552,0.10175432407370076,0.08122001370801918,0.3133408705483324,0.7757352941176471,89,93,91,98,213,0,0,0,0,122
interactive,20260000007,SJF,Round Robin,0,0.017458336080591122,0.06037499997546547,0.09083573381728714,0.06652855658273613,0.08398689266332725,0.26548241287368973,0.7907239819004526,57,76,58,76,146,0,0,0,0,87
interactive,20260000008,SJF,Round Robin,0,0.00039571255944159667,0.05966600019746693,0.16720569468878432,0.11565727372823847,0.11605298628768007,0.25,0.7965838509316769,67,72,64,82,160,0,0,0,0,95
interactive,20260000009,Round Robin,Round Robin,1,0.0,0.19391699970583431,0.13898893330625658,0.1294429858002443,0.0934022257551669,0.2836644173174615,0.7776923076923077,73,82,75,97,196,0,0,0,0,109
